Num,Start,End,Status,Temp
1,0,24,1,85
2,168,300,1,85
3,500,750,1,85
4,500,750,1,85
5,500,750,1,85
6,1000,1250,1,85
7,1250,1500,1,85
8,1250,1500,1,85
9,1500,NA,0,85
10,1500,NA,0,85
11,1500,NA,0,85
12,1500,NA,0,85
13,1500,NA,0,85
14,1500,NA,0,85
15,1500,NA,0,85
16,1500,NA,0,85
17,1500,NA,0,85
18,1500,NA,0,85
19,1500,NA,0,85
20,1500,NA,0,85
21,1500,NA,0,85
22,1500,NA,0,85
23,1500,NA,0,85
24,1500,NA,0,85
25,1500,NA,0,85
26,1500,NA,0,85
27,1500,NA,0,85
28,1500,NA,0,85
29,1500,NA,0,85
30,1500,NA,0,85
31,1500,NA,0,85
32,1500,NA,0,85
33,1500,NA,0,85
34,1500,NA,0,85
35,1500,NA,0,85
36,1500,NA,0,85
37,1500,NA,0,85
38,1500,NA,0,85
39,1500,NA,0,85
40,1500,NA,0,85
41,0,24,1,105
42,0,24,1,105
43,24,72,1,105
44,72,168,1,105
45,72,168,1,105
46,72,168,1,105
47,168,300,1,105
48,168,300,1,105
49,300,500,1,105
50,300,500,1,105
51,300,750,1,105
52,500,750,1,105
53,500,750,1,105
54,500,750,1,105
55,750,1000,1,105
56,750,1000,1,105
57,750,1000,1,105
58,750,1000,1,105
59,750,1000,1,105
60,1000,1250,1,105
61,1250,1500,1,105
62,1250,1500,1,105
63,1250,1500,1,105
64,1250,1500,1,105
65,1500,NA,0,105
66,1500,NA,0,105
67,1500,NA,0,105
68,1500,NA,0,105
69,1500,NA,0,105
70,1500,NA,0,105
71,1500,NA,0,105
72,1500,NA,0,105
73,1500,NA,0,105
74,1500,NA,0,105
75,1500,NA,0,105
76,1500,NA,0,105
77,1500,NA,0,105
78,1500,NA,0,105
79,1500,NA,0,105
80,1500,NA,0,105
81,0,24,1,125
82,0,24,1,125
83,0,24,1,125
84,0,24,1,125
85,0,24,1,125
86,24,72,1,125
87,24,72,1,125
88,24,72,1,125
89,24,72,1,125
90,24,72,1,125
91,24,72,1,125
92,24,72,1,125
93,24,72,1,125
94,24,72,1,125
95,24,72,1,125
96,72,168,1,125
97,72,168,1,125
98,72,168,1,125
99,72,168,1,125
100,72,168,1,125
101,72,168,1,125
102,72,168,1,125
103,72,168,1,125
104,72,168,1,125
105,72,168,1,125
106,72,168,1,125
107,72,168,1,125
108,72,168,1,125
109,168,300,1,125
110,168,300,1,125
111,300,500,1,125
112,300,500,1,125
113,300,500,1,125
114,500,750,1,125
115,500,750,1,125
116,750,1000,1,125
117,750,1000,1,125
118,1000,1250,1,125
119,1250,NA,0,125
120,1250,NA,0,125
